amfi_code,scheme_name,fund_house,category,benchmark,benchmark_dataset_name,observations,alpha_pct,beta
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,BSE 250 SmallCap TRI,BSE_SMALLCAP,1149,28.909,-0.048
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,BSE 250 SmallCap TRI,BSE_SMALLCAP,1149,26.71,0.029
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,NIFTY Midcap 150 TRI,NIFTY_MIDCAP150,1149,26.443,-0.002
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,NIFTY 500 TRI,NIFTY500,1149,24.476,0.038
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,NIFTY 500 TRI,NIFTY500,1149,24.374,-0.025
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,NIFTY 100 TRI,NIFTY100,1149,23.72,0.024
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,NIFTY Midcap 150 TRI,NIFTY_MIDCAP150,1149,23.38,-0.011
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,NIFTY Midcap 150 TRI,NIFTY_MIDCAP150,1149,22.973,0.031
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,NIFTY 100 TRI,NIFTY100,1149,18.747,-0.032
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,NIFTY 100 TRI,NIFTY100,1149,17.29,-0.008
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,NIFTY 100 TRI,NIFTY100,1149,16.988,0.021
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,NIFTY 100 TRI,NIFTY100,1149,16.716,0.016
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,NIFTY 100 TRI,NIFTY100,1149,14.895,-0.026
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,NIFTY 100 TRI,NIFTY100,1149,12.957,0.049
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,BSE 250 SmallCap TRI,BSE_SMALLCAP,1149,12.736,0.0
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,NIFTY 100 TRI,NIFTY100,1149,12.343,-0.04
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,NIFTY 50 TRI,NIFTY50,1149,11.797,-0.002
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,NIFTY 500 TRI,NIFTY500,1149,11.256,-0.015
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,NIFTY 500 TRI,NIFTY500,1149,10.185,0.055
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,NIFTY 100 TRI,NIFTY100,1149,10.077,-0.037
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,NIFTY 50 TRI,NIFTY50,1149,9.692,-0.014
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,NIFTY 100 TRI,NIFTY100,1149,7.709,0.036
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,NIFTY 100 TRI,NIFTY100,1149,7.596,-0.004
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,BSE 250 SmallCap TRI,BSE_SMALLCAP,1149,6.033,-0.049
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,NIFTY Midcap 150 TRI,NIFTY_MIDCAP150,1149,4.981,0.059
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,NIFTY Midcap 150 TRI,NIFTY_MIDCAP150,1149,2.859,-0.035
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,NIFTY 100 TRI,NIFTY100,1149,2.589,0.026
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,NIFTY 100 TRI,NIFTY100,1149,1.135,0.01
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,CRISIL Liquid Fund AI Index,CRISIL_LIQUID,1149,0.891,0.06
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,CRISIL Liquid Fund AI Index,CRISIL_LIQUID,1149,0.617,0.024
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,CRISIL Liquid Fund AI Index,CRISIL_LIQUID,1149,0.275,-0.03
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,CRISIL Dynamic Gilt Index,CRISIL_GILT,1149,-0.222,-0.001
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,BSE 250 SmallCap TRI,BSE_SMALLCAP,1149,-0.303,-0.046
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,CRISIL Dynamic Gilt Index,CRISIL_GILT,1149,-0.704,-0.01
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,BSE 250 SmallCap TRI,BSE_SMALLCAP,1149,-0.979,0.011
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,NIFTY Midcap 150 TRI,NIFTY_MIDCAP150,1149,-1.941,-0.049
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,NIFTY 100 TRI,NIFTY100,1149,-2.391,-0.058
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,CRISIL Short Term Bond Index,,0,,
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,NIFTY Midcap 50 TRI,,0,,
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,NIFTY Large Midcap 250 TRI,,0,,
