amfi_code,scheme_name,fund_house,category,benchmark,start_date,end_date,start_nav,end_nav,available_period_years,CAGR_1Y_pct,CAGR_3Y_pct,CAGR_Till_Date_pct
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,NIFTY 100 TRI,2022-01-03,2026-05-29,520.4608,583.6113,4.4,-2.22,1.29,2.64
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,CRISIL Short Term Bond Index,2022-01-03,2026-05-29,26.3169,31.8843,4.4,3.7,3.92,4.46
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,NIFTY Midcap 150 TRI,2022-01-03,2026-05-29,107.3758,342.0072,4.4,53.23,32.44,30.12
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,NIFTY 100 TRI,2022-01-03,2026-05-29,305.0996,773.2939,4.4,47.92,28.97,23.54
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,BSE 250 SmallCap TRI,2022-01-03,2026-05-29,38.5736,53.9836,4.4,-23.99,-4.15,7.94
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,CRISIL Liquid Fund AI Index,2022-01-03,2026-05-29,310.7415,410.1021,4.4,7.24,6.32,6.51
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,NIFTY 50 TRI,2022-01-03,2026-05-29,89.8728,187.7797,4.4,20.21,19.67,18.23
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,NIFTY Midcap 150 TRI,2022-01-03,2026-05-29,119.2905,125.564,4.4,-16.8,-0.77,1.17
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,NIFTY 500 TRI,2022-01-03,2026-05-29,191.0721,378.9657,4.4,13.58,25.56,16.84
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,NIFTY 100 TRI,2022-01-03,2026-05-29,42.8339,110.5554,4.4,33.98,22.65,24.05
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,NIFTY 100 TRI,2022-01-03,2026-05-29,47.1836,91.601,4.4,25.54,21.09,16.27
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,BSE 250 SmallCap TRI,2022-01-03,2026-05-29,69.1076,134.6683,4.4,15.81,8.01,16.37
