amfi_code,scheme_name,fund_house,category,CAGR_1Y_pct,CAGR_3Y_pct,CAGR_Till_Date_pct,Sharpe_Ratio,Sortino_Ratio,alpha_pct,beta,max_drawdown_pct,CAGR_1Y_Score,CAGR_3Y_Score,Sharpe_Score,Sortino_Score,Alpha_Score,Drawdown_Score,Overall_Score,Overall_Rank
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,82.78,26.67,32.42,0.972,1.016,28.909,-0.048,-28.71,100.0,81.97351559162752,60.70159857904086,60.74806534823731,100.0,54.52639603583,78.1,1
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,65.14,27.0,32.29,0.977,1.017,26.71,0.029,-31.17,85.95317725752508,82.67834258863734,60.92362344582594,60.79105760963026,92.9744408945687,59.21478940346865,74.9,2
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,20.36,34.0,30.97,1.496,1.512,23.72,0.024,-11.27,50.29463290332855,97.62921828278513,83.96980461811724,82.07222699914016,83.4217252396166,21.2883552506194,73.33,3
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,60.44,30.46,25.8,1.257,1.316,18.747,-0.032,-15.01,82.2105430801083,90.06834686031611,73.35701598579041,73.6457437661221,67.53354632587859,28.416237850200115,73.15,4
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,53.23,32.44,30.12,1.129,1.161,22.973,0.031,-16.22,76.46918299092212,94.29730884237505,67.67317939609237,66.98194325021495,81.03514376996806,30.722317514770342,72.96,5
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,39.75,29.18,31.95,1.273,1.344,24.476,0.038,-16.4,65.73498964803312,87.33447244767194,74.06749555950267,74.84952708512468,85.8370607028754,31.065370688012194,72.64,6
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,29.6,31.78,32.83,1.215,1.276,26.443,-0.002,-18.19,57.65249243510113,92.88765484835541,71.49200710479575,71.92605331040413,92.12140575079874,34.476843910806174,72.46,7
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,26.66,29.58,30.91,1.349,1.43,24.374,-0.025,-12.97,55.31135531135531,88.18880820162323,77.44227353463589,78.54686156491832,85.5111821086262,24.528301886792455,71.25,8
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,21.48,26.87,29.58,1.17,1.174,23.38,-0.011,-17.25,51.186494664755536,82.40068346860315,69.49378330373001,67.54084264832329,82.33546325878595,32.685344006098724,66.37,9
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,47.92,28.97,23.54,1.073,1.119,16.988,0.021,-11.29,72.24080267558529,86.8859461768475,65.18650088809947,65.1762682717111,61.91373801916933,21.326472269868496,66.06,10
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,22.26,35.11,28.21,1.033,1.088,,,-20.96,51.80761267717789,100.0,63.41030195381882,63.843508168529674,50.0,39.75605107680579,64.1,11
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,33.98,22.65,24.05,1.129,1.155,17.29,-0.008,-17.41,61.14030896639593,73.38744126441692,67.67317939609237,66.72398968185726,62.87859424920128,32.99028016009148,63.18,12
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,13.06,32.49,23.3,1.073,1.095,16.716,0.016,-12.59,44.481605351170565,94.40410081161897,65.18650088809947,64.1444539982803,61.04472843450479,23.804078521059655,61.97,13
