amfi_code,scheme_name,fund_house,category,risk_category,max_drawdown_pct,drawdown_date,peak_nav,trough_nav,Drawdown_Rank
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,Low,-0.1,2025-10-20,372.0401,371.6765,1
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,Low,-0.12,2024-04-30,3738.8231,3734.4751,2
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Low,-0.16,2023-09-12,346.9958,346.4328,3
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Low,-4.31,2023-07-28,28.7494,27.5108,4
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Low,-4.33,2025-04-01,52.5004,50.2278,5
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Low,-8.32,2024-02-09,34.1748,31.3327,6
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Moderate,-10.86,2022-03-29,93.7848,83.5999,7
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Moderate,-11.27,2023-10-20,101.8496,90.3755,8
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Moderate,-11.29,2023-07-05,370.0026,328.2234,9
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,Moderate,-11.65,2022-06-09,170.3428,150.4968,10
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Moderate,-11.8,2024-09-02,123.6295,109.0369,11
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Moderate,-12.59,2023-05-30,73.2507,64.0297,12
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Moderately High,-12.97,2022-04-13,51.4908,44.8104,13
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Moderate,-13.9,2023-11-09,83.6992,72.0668,14
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Moderate,-14.4,2025-02-07,54.8362,46.9389,15
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Moderate,-14.84,2022-02-04,348.7159,296.9505,16
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Moderate,-15.01,2024-02-05,77.51,65.8739,17
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Moderate,-15.2,2025-01-01,857.869,727.4728,18
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Moderately High,-15.27,2024-01-24,155.2454,131.5354,19
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,High,-16.22,2022-05-12,111.6641,93.5553,20
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,High,-16.4,2023-10-20,54.5401,45.5973,21
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,High,-17.25,2022-10-24,88.1749,72.9664,22
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Moderate,-17.41,2024-07-19,81.932,67.6643,23
