sector,weight_pct,weight_proportion,hhi_contribution,overall_hhi,overall_hhi_10000,top5_concentration_pct,effective_number_of_sectors
Banking,652.26,6.5226,42.544310759999995,117.69088088999999,1176908.8088999998,2104.37,0.008496835034607754
IT,455.47,4.5547,20.745292090000003,117.69088088999999,1176908.8088999998,2104.37,0.008496835034607754
Pharma,407.45,4.0745,16.601550249999995,117.69088088999999,1176908.8088999998,2104.37,0.008496835034607754
Automobile,323.65,3.2365,10.47493225,117.69088088999999,1176908.8088999998,2104.37,0.008496835034607754
Utilities,265.54,2.6554,7.051149160000001,117.69088088999999,1176908.8088999998,2104.37,0.008496835034607754
FMCG,229.11,2.2911,5.249139210000001,117.69088088999999,1176908.8088999998,2104.37,0.008496835034607754
Infrastructure,192.16,1.9216,3.69254656,117.69088088999999,1176908.8088999998,2104.37,0.008496835034607754
Diversified,169.23,1.6923,2.86387929,117.69088088999999,1176908.8088999998,2104.37,0.008496835034607754
Telecom,145.62,1.4562,2.1205184399999997,117.69088088999999,1176908.8088999998,2104.37,0.008496835034607754
Consumer Goods,127.61,1.2761,1.62843121,117.69088088999999,1176908.8088999998,2104.37,0.008496835034607754
NBFC,119.09,1.1909,1.4182428100000002,117.69088088999999,1176908.8088999998,2104.37,0.008496835034607754
Energy,117.91,1.1791,1.39027681,117.69088088999999,1176908.8088999998,2104.37,0.008496835034607754
Cement,105.03,1.0503,1.10313009,117.69088088999999,1176908.8088999998,2104.37,0.008496835034607754
Paints,89.86,0.8986,0.8074819599999999,117.69088088999999,1176908.8088999998,2104.37,0.008496835034607754
