amfi_code,scheme_name,fund_house,category,risk_category,Sharpe_Ratio,Sharpe_Rank
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,Low,1.857,1
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Moderate,1.496,2
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Moderately High,1.349,3
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,High,1.273,4
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Moderate,1.257,5
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,Low,1.221,6
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,High,1.215,7
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,High,1.17,8
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Moderate,1.129,9
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,High,1.129,9
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Moderate,1.073,11
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Moderate,1.073,11
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,High,1.033,13
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Moderate,1.002,14
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Very High,0.977,15
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Very High,0.972,16
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Moderately High,0.97,17
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Moderate,0.869,18
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Moderate,0.846,19
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Moderate,0.822,20
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,Moderate,0.717,21
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Moderate,0.693,22
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Moderately High,0.693,22
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Moderately High,0.662,24
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Moderate,0.544,25
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Low,0.512,26
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Moderate,0.511,27
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Very High,0.475,28
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,High,0.337,29
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Very High,0.189,30
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Moderate,0.178,31
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,High,0.114,32
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Moderate,0.079,33
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Very High,-0.03,34
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Very High,-0.049,35
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Low,-0.057,36
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Moderate,-0.155,37
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,High,-0.169,38
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Low,-0.188,39
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Low,-0.395,40
