investor_id,first_sip_date,last_sip_date,total_sip_transactions,total_sip_amount_inr,max_sip_gap_days,average_sip_gap_days,continuity_status,state,city,city_tier,age_group,gender,annual_income_lakh,kyc_status
INV000001,2024-11-04,2025-01-19,2,47946,76.0,76.0,At Risk,Haryana,Gurugram,T30,36-45,Male,19.9,Verified
INV000002,2024-03-29,2025-05-17,3,7874,238.0,207.0,At Risk,Maharashtra,Pune,T30,46-55,Male,24.0,Verified
INV000003,2024-07-16,2025-03-11,2,17861,238.0,238.0,At Risk,Gujarat,Ahmedabad,T30,26-35,Female,10.6,Verified
INV000004,2024-03-16,2025-05-17,6,48256,265.0,85.4,At Risk,Punjab,Chandigarh,T30,26-35,Male,20.0,Verified
INV000005,2024-09-13,2024-10-11,3,57646,19.0,14.0,Continuous,Punjab,Amritsar,B30,26-35,Female,10.4,Verified
INV000006,2024-01-02,2025-05-11,5,48582,295.0,123.75,At Risk,Madhya Pradesh,Bhopal,B30,46-55,Female,43.0,Verified
INV000007,2024-01-03,2025-02-24,5,82420,177.0,104.5,At Risk,Uttar Pradesh,Kanpur,B30,26-35,Male,21.9,Verified
INV000008,2024-05-27,2025-05-14,6,72853,165.0,70.4,At Risk,Punjab,Amritsar,B30,26-35,Female,18.6,Verified
INV000009,2024-02-20,2024-11-02,4,97638,162.0,85.33,At Risk,Haryana,Gurugram,T30,26-35,Male,17.1,Verified
INV000010,2024-04-11,2025-03-01,6,32183,139.0,64.8,At Risk,Maharashtra,Pune,T30,36-45,Male,13.6,Verified
INV000011,2024-01-03,2024-08-31,7,93920,125.0,40.17,At Risk,West Bengal,Kolkata,T30,26-35,Male,9.6,Verified
INV000012,2024-03-27,2025-04-30,8,40139,132.0,57.0,At Risk,Uttar Pradesh,Kanpur,B30,46-55,Male,51.6,Verified
INV000013,2024-04-18,2025-03-16,7,75613,104.0,55.33,At Risk,Maharashtra,Nashik,B30,18-25,Male,5.2,Verified
INV000014,2024-02-23,2025-05-20,7,140315,128.0,75.33,At Risk,Tamil Nadu,Chennai,T30,18-25,Male,4.3,Verified
INV000015,2025-01-05,2025-01-05,1,48468,0.0,0.0,Continuous,Gujarat,Surat,T30,36-45,Male,27.8,Verified
INV000016,2024-06-18,2024-06-18,1,28090,0.0,0.0,Continuous,Tamil Nadu,Chennai,T30,26-35,Female,21.0,Verified
INV000017,2025-03-23,2025-03-23,1,12884,0.0,0.0,Continuous,Gujarat,Surat,T30,46-55,Female,31.5,Verified
INV000018,2025-01-18,2025-03-09,2,11817,50.0,50.0,At Risk,Telangana,Hyderabad,T30,56+,Male,37.9,Verified
INV000019,2024-01-17,2025-03-02,3,38049,406.0,205.0,At Risk,Gujarat,Ahmedabad,T30,18-25,Female,5.1,Verified
INV000020,2024-06-28,2024-07-14,2,5642,16.0,16.0,Continuous,Delhi,Noida,T30,36-45,Female,17.0,Pending
INV000021,2024-06-06,2025-03-21,3,73676,282.0,144.0,At Risk,Uttar Pradesh,Agra,B30,46-55,Male,76.8,Verified
INV000022,2024-05-18,2024-06-27,2,12221,40.0,40.0,At Risk,Telangana,Hyderabad,T30,36-45,Male,37.4,Verified
INV000023,2024-03-21,2025-05-05,8,202529,115.0,58.57,At Risk,West Bengal,Kolkata,T30,46-55,Female,61.9,Verified
INV000024,2024-05-05,2025-03-04,5,66955,167.0,75.75,At Risk,Delhi,Gurugram,T30,36-45,Female,27.0,Verified
INV000025,2024-05-01,2024-05-01,1,13678,0.0,0.0,Continuous,Haryana,Gurugram,T30,26-35,Male,11.5,Pending
INV000026,2024-01-18,2025-03-27,4,51782,157.0,144.67,At Risk,West Bengal,Kolkata,T30,36-45,Male,29.5,Verified
INV000027,2024-05-29,2025-05-05,2,19078,341.0,341.0,At Risk,Punjab,Chandigarh,T30,26-35,Male,20.7,Verified
INV000028,2024-02-07,2025-05-20,6,84262,238.0,93.6,At Risk,Gujarat,Surat,T30,18-25,Female,6.1,Verified
INV000029,2024-05-16,2025-05-15,7,90012,96.0,60.67,At Risk,Rajasthan,Udaipur,B30,26-35,Female,7.6,Verified
INV000030,2024-02-19,2025-03-06,9,76470,100.0,47.62,At Risk,Delhi,Noida,T30,18-25,Female,5.1,Verified
INV000031,2024-07-13,2025-04-29,3,13721,276.0,145.0,At Risk,Madhya Pradesh,Indore,T30,36-45,Male,27.3,Pending
INV000032,2024-03-01,2025-01-02,4,20796,166.0,102.33,At Risk,Delhi,Noida,T30,36-45,Male,21.8,Verified
INV000033,2024-06-24,2025-05-09,8,46033,87.0,45.57,At Risk,Delhi,New Delhi,T30,36-45,Female,12.4,Verified
INV000034,2025-02-10,2025-02-10,1,936,0.0,0.0,Continuous,Punjab,Chandigarh,T30,26-35,Male,24.5,Verified
INV000035,2024-11-11,2025-04-04,2,1710,144.0,144.0,At Risk,Gujarat,Ahmedabad,T30,26-35,Male,20.9,Verified
INV000036,2024-05-29,2024-09-05,2,11059,99.0,99.0,At Risk,West Bengal,Kolkata,T30,36-45,Male,49.7,Verified
INV000037,2024-11-22,2025-01-24,2,9367,63.0,63.0,At Risk,Rajasthan,Udaipur,B30,26-35,Male,7.5,Verified
INV000038,2024-08-14,2025-03-09,4,72030,183.0,69.0,At Risk,West Bengal,Kolkata,T30,56+,Female,22.4,Verified
INV000039,2024-04-27,2025-04-05,6,99338,129.0,68.6,At Risk,Madhya Pradesh,Bhopal,B30,26-35,Male,6.5,Verified
INV000040,2024-06-26,2025-02-01,5,75547,118.0,55.0,At Risk,Karnataka,Mysore,B30,26-35,Male,14.7,Verified
INV000041,2024-09-30,2024-09-30,1,2747,0.0,0.0,Continuous,Karnataka,Mysore,B30,46-55,Male,25.0,Verified
INV000042,2025-03-14,2025-05-21,4,86054,32.0,22.67,Continuous,Punjab,Amritsar,B30,26-35,Female,15.3,Pending
INV000043,2025-03-31,2025-03-31,1,22261,0.0,0.0,Continuous,Madhya Pradesh,Indore,T30,26-35,Male,23.7,Verified
INV000044,2025-01-11,2025-01-28,2,1876,17.0,17.0,Continuous,Karnataka,Mysore,B30,36-45,Male,34.9,Verified
INV000045,2024-03-13,2025-03-01,6,114438,109.0,70.6,At Risk,Uttar Pradesh,Lucknow,T30,36-45,Male,26.2,Pending
INV000046,2025-02-14,2025-05-26,4,33006,54.0,33.67,At Risk,Gujarat,Ahmedabad,T30,26-35,Female,24.5,Verified
INV000047,2024-01-10,2024-03-27,2,18994,77.0,77.0,At Risk,Haryana,Faridabad,B30,36-45,Male,23.6,Verified
INV000048,2024-03-27,2025-03-30,9,40327,168.0,46.0,At Risk,Rajasthan,Jaipur,T30,36-45,Female,15.0,Verified
INV000049,2024-01-20,2025-05-29,3,37744,425.0,247.5,At Risk,Maharashtra,Nashik,B30,36-45,Male,23.8,Verified
INV000050,2024-08-12,2025-01-02,2,23732,143.0,143.0,At Risk,Maharashtra,Pune,T30,36-45,Male,13.4,Verified
