amfi_code,scheme_name,fund_house,category,risk_category,Sortino_Ratio,Sortino_Rank
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,Low,1.929,1
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Moderate,1.512,2
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Moderately High,1.43,3
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,High,1.344,4
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Moderate,1.316,5
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,High,1.276,6
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,Low,1.257,7
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,High,1.174,8
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,High,1.161,9
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Moderate,1.155,10
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Moderate,1.119,11
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Moderate,1.095,12
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,High,1.088,13
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Moderate,1.03,14
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Very High,1.017,15
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Very High,1.016,16
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Moderately High,1.0,17
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Moderate,0.897,18
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Moderate,0.87,19
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Moderate,0.852,20
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,Moderate,0.738,21
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Moderate,0.733,22
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Moderately High,0.707,23
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Moderately High,0.692,24
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Moderate,0.553,25
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Moderate,0.516,26
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Low,0.509,27
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Very High,0.478,28
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,High,0.336,29
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Very High,0.192,30
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Moderate,0.177,31
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,High,0.112,32
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Moderate,0.08,33
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Very High,-0.03,34
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Very High,-0.049,35
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Low,-0.057,36
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Moderate,-0.159,37
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,High,-0.165,38
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Low,-0.188,39
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Low,-0.397,40
