amfi_code,scheme_name,fund_house,category,risk_category,observations,VaR_95_pct,CVaR_95_pct
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Very High,1149,-2.69,-3.24
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Very High,1149,-2.62,-3.17
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Very High,1149,-2.6,-3.25
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Very High,1149,-2.54,-3.23
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Very High,1149,-2.45,-3.06
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Very High,1149,-2.35,-3.1
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,High,1149,-1.92,-2.33
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,High,1149,-1.9,-2.35
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,High,1149,-1.89,-2.43
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,High,1149,-1.85,-2.43
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,High,1149,-1.84,-2.31
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,High,1149,-1.82,-2.27
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,High,1149,-1.79,-2.26
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,High,1149,-1.71,-2.13
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Moderately High,1149,-1.52,-1.94
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Moderately High,1149,-1.47,-1.88
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Moderate,1149,-1.46,-1.83
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Moderate,1149,-1.45,-1.84
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Moderately High,1149,-1.45,-1.84
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Moderately High,1149,-1.44,-1.94
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Moderate,1149,-1.44,-1.81
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Moderate,1149,-1.42,-1.75
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Moderate,1149,-1.4,-1.76
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Moderate,1149,-1.37,-1.75
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Moderate,1149,-1.37,-1.73
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Moderate,1149,-1.36,-1.76
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Moderate,1149,-1.36,-1.75
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Moderate,1149,-1.35,-1.73
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Moderate,1149,-1.34,-1.66
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Moderate,1149,-1.33,-1.74
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Moderate,1149,-1.31,-1.64
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Moderate,1149,-1.28,-1.64
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,Moderate,1149,-1.26,-1.62
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Moderate,1149,-1.26,-1.55
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Low,1149,-0.39,-0.5
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Low,1149,-0.38,-0.5
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Low,1149,-0.38,-0.49
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Low,1149,-0.03,-0.04
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,Low,1149,-0.03,-0.04
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,Low,1149,-0.02,-0.04
