date,nav
08-09-2026,107.21760
07-09-2026,107.21010
04-09-2026,107.15740
03-09-2026,107.10000
02-09-2026,106.95260
01-09-2026,106.88880
31-08-2026,106.88490
28-08-2026,106.87100
27-08-2026,106.91620
25-08-2026,106.94190
24-08-2026,106.91640
21-08-2026,106.88210
20-08-2026,106.99960
19-08-2026,107.16830
18-08-2026,107.13600
17-08-2026,107.24020
14-08-2026,107.27440
13-08-2026,107.25640
12-08-2026,107.20260
11-08-2026,107.17660
10-08-2026,107.19580
07-08-2026,107.09710
06-08-2026,107.08340
05-08-2026,107.01670
04-08-2026,106.93270
03-08-2026,106.89830
31-07-2026,106.83770
30-07-2026,106.78420
29-07-2026,106.83570
28-07-2026,106.86110
27-07-2026,106.81260
24-07-2026,106.59610
23-07-2026,106.58510
22-07-2026,106.61070
21-07-2026,106.65670
20-07-2026,106.57370
17-07-2026,106.60010
16-07-2026,106.58290
15-07-2026,106.51160
14-07-2026,106.46090
13-07-2026,106.70260
10-07-2026,106.69460
09-07-2026,106.57760
08-07-2026,106.55870
07-07-2026,106.79770
06-07-2026,106.84310
03-07-2026,106.80420
02-07-2026,106.77210
01-07-2026,106.64510
30-06-2026,106.62250
29-06-2026,106.46480
25-06-2026,106.30570
24-06-2026,106.12680
23-06-2026,106.04100
22-06-2026,105.98500
19-06-2026,105.92190
18-06-2026,105.90030
17-06-2026,105.84820
16-06-2026,105.84550
15-06-2026,105.81250
12-06-2026,105.68640
11-06-2026,105.57370
10-06-2026,105.65690
09-06-2026,105.57930
08-06-2026,105.30840
05-06-2026,105.10700
04-06-2026,104.80950
03-06-2026,104.74960
02-06-2026,104.76630
01-06-2026,104.70250
29-05-2026,104.65700
27-05-2026,104.58330
26-05-2026,104.52690
25-05-2026,104.52150
22-05-2026,104.34670
21-05-2026,104.28500
20-05-2026,104.38260
19-05-2026,104.42160
18-05-2026,104.37910
15-05-2026,104.59680
14-05-2026,104.73180
13-05-2026,104.73710
12-05-2026,104.75850
11-05-2026,104.80530
08-05-2026,104.86960
07-05-2026,104.87620
06-05-2026,104.80430
05-05-2026,104.61660
04-05-2026,104.65440
30-04-2026,104.57060
29-04-2026,104.65940
28-04-2026,104.74280
27-04-2026,104.77710
24-04-2026,104.70910
23-04-2026,104.76520
22-04-2026,104.84730
21-04-2026,104.84700
20-04-2026,104.83690
17-04-2026,104.78210
16-04-2026,104.79590
15-04-2026,104.79010
13-04-2026,104.61130
10-04-2026,104.59560
09-04-2026,104.51500
08-04-2026,104.39190
07-04-2026,103.99180
06-04-2026,103.91420
02-04-2026,103.88130
31-03-2026,104.01160
30-03-2026,103.99210
27-03-2026,103.91020
25-03-2026,103.97130
24-03-2026,103.98160
23-03-2026,110.66250
20-03-2026,110.93520
18-03-2026,110.99850
17-03-2026,110.93160
16-03-2026,110.91590
13-03-2026,110.92870
12-03-2026,110.98980
11-03-2026,111.10720
10-03-2026,111.04840
09-03-2026,110.91930
06-03-2026,111.03950
05-03-2026,111.05340
04-03-2026,110.94990
02-03-2026,111.06530
27-02-2026,111.02610
26-02-2026,111.00690
25-02-2026,110.98260
24-02-2026,110.93940
23-02-2026,110.88290
20-02-2026,110.80700
18-02-2026,110.86130
17-02-2026,110.86820
16-02-2026,110.84090
13-02-2026,110.75840
12-02-2026,110.63090
11-02-2026,110.50560
10-02-2026,110.42930
09-02-2026,110.42330
06-02-2026,110.41730
05-02-2026,110.59850
04-02-2026,110.44770
03-02-2026,110.29600
02-02-2026,110.15370
30-01-2026,110.19030
29-01-2026,110.09220
28-01-2026,110.08550
27-01-2026,110.10780
23-01-2026,110.07660
22-01-2026,110.05390
21-01-2026,109.94380
20-01-2026,109.93850
19-01-2026,109.97420
16-01-2026,110.01070
14-01-2026,110.12860
13-01-2026,110.18780
12-01-2026,110.29740
09-01-2026,110.23270
08-01-2026,110.22180
07-01-2026,110.21750
06-01-2026,110.26470
05-01-2026,110.24980
02-01-2026,110.33330
01-01-2026,110.34930
31-12-2025,110.32120
30-12-2025,110.21760
29-12-2025,110.27990
26-12-2025,110.22470
24-12-2025,110.20790
23-12-2025,109.99540
22-12-2025,110.02410
19-12-2025,110.04030
18-12-2025,110.01950
17-12-2025,110.02660
16-12-2025,110.02610
15-12-2025,109.99440
12-12-2025,110.06520
11-12-2025,110.06090
10-12-2025,110.04660
09-12-2025,110.18520
08-12-2025,110.32990
05-12-2025,110.33730
04-12-2025,110.23500
03-12-2025,110.23620
02-12-2025,110.23490
01-12-2025,110.21100
28-11-2025,110.26150
27-11-2025,110.27430
26-11-2025,110.26580
25-11-2025,110.19240
24-11-2025,110.13220
21-11-2025,110.07080
20-11-2025,110.08820
19-11-2025,110.07710
18-11-2025,110.02050
17-11-2025,109.97560
14-11-2025,109.97250
13-11-2025,109.99070
12-11-2025,109.99470
11-11-2025,109.96100
10-11-2025,109.92500
07-11-2025,109.86090
06-11-2025,109.83370
04-11-2025,109.79410
03-11-2025,109.75480
31-10-2025,109.67680
30-10-2025,109.65210
29-10-2025,109.69340
28-10-2025,109.64040
27-10-2025,109.61250
24-10-2025,109.56730
23-10-2025,109.58170
20-10-2025,109.61550
17-10-2025,109.58440
16-10-2025,109.51310
15-10-2025,109.47540
14-10-2025,109.40880
13-10-2025,109.37630
10-10-2025,109.28520
09-10-2025,109.25970
08-10-2025,109.25240
07-10-2025,109.20450
06-10-2025,109.09260
03-10-2025,108.95910
01-10-2025,108.82850
30-09-2025,108.73970
26-09-2025,108.67020
25-09-2025,108.61700
24-09-2025,108.58590
23-09-2025,108.57080
22-09-2025,108.51310
19-09-2025,108.44280
18-09-2025,108.45520
17-09-2025,108.45380
16-09-2025,108.37870
15-09-2025,108.38020
12-09-2025,108.40060
11-09-2025,108.36900
10-09-2025,108.35740
09-09-2025,108.35190
05-09-2025,108.24500
04-09-2025,108.13790
03-09-2025,108.04710
02-09-2025,108.00880
01-09-2025,108.03730
29-08-2025,108.02970
28-08-2025,108.06600
26-08-2025,107.92660
25-08-2025,108.10370
22-08-2025,108.10960
21-08-2025,108.09850
20-08-2025,108.08990
19-08-2025,108.00830
18-08-2025,108.12710
14-08-2025,108.15430
13-08-2025,107.99010
12-08-2025,108.04900
11-08-2025,108.20180
08-08-2025,108.27260
07-08-2025,108.26110
06-08-2025,108.21530
05-08-2025,108.44120
04-08-2025,108.43550
01-08-2025,108.29520
31-07-2025,108.21670
30-07-2025,108.17570
29-07-2025,108.18280
28-07-2025,108.21930
25-07-2025,108.19820
24-07-2025,108.25730
23-07-2025,108.22770
22-07-2025,108.19790
21-07-2025,108.17290
18-07-2025,108.11610
17-07-2025,108.02720
16-07-2025,107.96580
15-07-2025,107.96200
14-07-2025,107.96170
11-07-2025,107.91250
10-07-2025,107.89280
09-07-2025,107.89240
08-07-2025,107.91980
07-07-2025,107.92430
04-07-2025,107.84660
03-07-2025,107.85520
02-07-2025,107.76770
01-07-2025,107.66240
30-06-2025,107.57670
27-06-2025,107.48780
26-06-2025,107.50110
25-06-2025,107.51100
24-06-2025,107.57330
23-06-2025,107.45770
20-06-2025,107.43840
19-06-2025,107.44650
18-06-2025,107.57160
17-06-2025,107.56440
16-06-2025,107.43870
13-06-2025,107.35750
12-06-2025,107.48250
11-06-2025,107.54390
10-06-2025,107.64210
09-06-2025,107.88600
06-06-2025,108.00920
05-06-2025,107.78120
04-06-2025,107.74690
03-06-2025,107.73450
02-06-2025,107.71030
30-05-2025,107.65700
29-05-2025,107.68830
28-05-2025,107.68220
27-05-2025,107.63290
26-05-2025,107.62180
23-05-2025,107.55340
22-05-2025,107.51930
21-05-2025,107.48780
20-05-2025,107.28670
19-05-2025,107.17660
16-05-2025,107.06880
15-05-2025,106.90550
14-05-2025,106.79010
13-05-2025,106.66610
09-05-2025,106.27890
08-05-2025,106.34660
07-05-2025,106.55850
06-05-2025,106.50850
05-05-2025,106.54510
02-05-2025,106.45730
30-04-2025,106.42720
29-04-2025,106.42310
28-04-2025,106.34220
25-04-2025,106.29280
24-04-2025,106.34310
23-04-2025,106.35570
22-04-2025,106.28670
21-04-2025,106.19590
17-04-2025,106.03930
16-04-2025,105.91380
15-04-2025,105.82560
11-04-2025,105.71660
09-04-2025,105.59500
08-04-2025,105.47980
07-04-2025,105.48950
04-04-2025,105.47310
03-04-2025,105.40700
02-04-2025,105.26930
31-03-2025,104.85170
28-03-2025,104.79800
27-03-2025,104.58870
26-03-2025,104.42750
25-03-2025,104.31520
24-03-2025,104.27110
21-03-2025,104.17870
20-03-2025,104.08510
19-03-2025,103.98430
18-03-2025,103.86850
17-03-2025,103.81830
13-03-2025,103.73140
12-03-2025,103.69370
11-03-2025,103.66330
10-03-2025,103.63180
07-03-2025,103.59320
06-03-2025,103.57700
05-03-2025,103.51560
04-03-2025,103.49610
03-03-2025,103.49150
28-02-2025,103.45420
27-02-2025,103.47500
25-02-2025,103.53110
24-02-2025,103.52300
21-02-2025,103.46060
20-02-2025,103.44730
18-02-2025,103.42800
17-02-2025,103.40240
14-02-2025,103.35870
13-02-2025,103.34130
12-02-2025,103.33270
11-02-2025,103.34910
10-02-2025,103.31190
07-02-2025,103.29830
06-02-2025,103.35570
05-02-2025,103.28870
04-02-2025,103.20960
03-02-2025,103.20790
31-01-2025,103.11940
30-01-2025,103.09950
29-01-2025,103.06310
28-01-2025,103.05510
27-01-2025,103.01910
24-01-2025,102.90000
23-01-2025,102.88280
22-01-2025,102.88200
21-01-2025,102.83300
20-01-2025,102.77220
17-01-2025,102.69710
16-01-2025,102.68460
15-01-2025,102.55470
14-01-2025,102.50670
13-01-2025,102.47900
10-01-2025,102.57880
09-01-2025,102.56690
08-01-2025,102.58420
07-01-2025,102.59420
06-01-2025,102.54280
03-01-2025,102.47340
02-01-2025,102.44110
01-01-2025,102.43730
31-12-2024,102.42610
30-12-2024,102.39350
27-12-2024,102.33770
26-12-2024,102.30570
24-12-2024,102.27600
23-12-2024,102.29710
20-12-2024,102.22990
19-12-2024,102.23190
18-12-2024,102.30510
